id;descrizioneCompleta;Peso;;produttore;;;;;;;;;;;;;;
FRUTMELEGFC1;Mele Renette CarpendÃ¹ kg 1;Mele Renette CarpendÃ¹ kg 1;kg;Azienda agricola Mellano Giovanni;;;;;;;;;;;;;;
FRUTMELEGOLDEN2;Mele Golden kg 1;Mele Golden kg 1;kg;Azienda agricola Mellano Giovanni;;;;;;;;;;;;;;
FRUTMELEMORELL1;Mele Morella kg 1;Mele Morella kg 1;kg;Azienda agricola Mellano Giovanni;;;;;;;;;;;;;;
FRUTMELEPINA1;Mele Pina kg 1;Mele Pina kg 1;kg;Azienda agricola Mellano Giovanni;;;;;;;;;;;;;;
FRUTMELERUDOLF1;Meline di Rudolf kg 1;Meline di Rudolf kg 1;kg;Azienda agricola Mellano Giovanni;;;;;;;;;;;;;;
FRUTSUSINE14;Susine Santa Clara g 500;Susine Santa Clara g 500;;Azienda agricola Mellano Giovanni;;;;;;;;;;;;;;
FRUTKIWI10;Kiwi g 500;Kiwi g 500;;Azienda agricola Roncaglia di Bianciotto Aldo;;;;;;;;;;;;;;
FRUTKIWIARGUTA1;Kiwi Arguta buccia liscia senza peli g 250;Kiwi Arguta buccia liscia senza peli g 250;;Azienda agricola Roncaglia di Bianciotto Aldo;;;;;;;;;;;;;;
FRUTSUSINEBEGG2;Susine Angeleno g 500;Susine Angeleno g 500;;Azienda agricola Roncaglia di Bianciotto Aldo;;;;;;;;;;;;;;
CERFAR49;Farina di mais Pignulet integrale g 500;Farina di mais Pignulet integrale g 500;;Azienda agricola L'Uberge di Dalmasso Dario;;;;;;;;;;;;;;
SUC47;Succo di mele Pumalin cl 100;Succo di mele Pumalin cl 100;;Azienda agricola L'Uberge di Dalmasso Dario;;;;;;;;;;;;;;
SUC76;Frullato di mele ml 750;Frullato di mele ml 750;;Azienda agricola L'Uberge di Dalmasso Dario;;;;;;;;;;;;;;
CERPASGDUROC12;Conchiglie di farro g 500;Conchiglie di farro g 500;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERPASGDUROC16;Biavette di grano duro g 500;Biavette di grano duro g 500;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERPASGDUROC17;Stelline di grano duro g 500;Stelline di grano duro g 500;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERPASGDUROC19;Alfabeto di grano duro g 500;Alfabeto di grano duro g 500;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERPASGDUROCORTA12;Conchiglie di farro g 500;Conchiglie di farro g 500;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERPASGDUROL17;Spaghetti di grano duro g 500;Spaghetti di grano duro g 500;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
